seed,x,z,latitude,temperatureC,rainfallMm,evaporationMm,moistureIndex,rainShadow,windX,windZ,marineClass
8675309,4096,-28672,-25.804799999999997,16.015277995498643,516.6991750029449,817.1591577489231,0.3870816567760769,0.3059034501189435,-0.9708435927494691,-0.23971382608707195,LAND
8675309,8192,-28672,-25.804799999999997,15.473740666047725,659.6484383080187,835.0291318738695,0.44103652515682196,0.4311066635617647,-0.9715202565335449,-0.2369565174140502,LAND
8675309,12288,-28672,-25.804799999999997,15.932911681209031,1255.7560369826817,809.3252967446091,0.6077960322681243,0.18170338362117205,-0.968624979483575,-0.2485269585385941,LAND
8675309,16384,-28672,-25.804799999999997,16.891795849445923,1216.0157214055616,824.0523252900266,0.595774218980227,0.21748393465010377,-0.9646276009449614,-0.2636163718268809,MAJOR_OCEAN
8675309,20480,-28672,-25.804799999999997,16.034896083629725,536.9058271757483,817.5122833352825,0.39611823319471484,0.29118265155889267,-0.9632980943303003,-0.26843394245067403,LAND
8675309,24576,-28672,-25.804799999999997,15.615202765756885,783.572425461802,834.1821828289853,0.48405880758490094,0.46658035008489623,-0.9659697677771701,-0.25865499751700155,LAND
8675309,28672,-28672,-25.804799999999997,16.07034227531409,1108.1406420966418,819.6503002093459,0.5745260503825219,0.46016204142485745,-0.9700016084397554,-0.24309849778286907,LAND
8675309,32768,-28672,-25.804799999999997,16.738093038860775,1287.3488806860914,821.2856746994939,0.610223641530558,0.23374321449044255,-0.971726818403161,-0.23610800578563654,MAJOR_OCEAN
8675309,-32768,-24576,-22.1184,17.35014776548949,1029.9743151191606,832.3026597788107,0.5527757434857797,0.255880807813976,-0.9635946833766716,-0.26736732442131345,MAJOR_OCEAN
8675309,-28672,-24576,-22.1184,16.08343429574859,590.8706334805332,847.7660460619289,0.41043038280208355,0.40813342922533863,-0.9646461574535367,-0.2635484602689354,LAND
8675309,-24576,-24576,-22.1184,18.49535384524818,685.293273918602,862.7316294549336,0.44240300619192097,0.44670357060634486,-0.9685656482219982,-0.24875808546517733,LAND
8675309,-20480,-24576,-22.1184,16.39858777034301,937.3046003456142,848.0985698441684,0.5246881644562003,0.5735203928355569,-0.971633344767248,-0.236492374795489,LAND
8675309,-16384,-24576,-22.1184,17.432517354078833,1059.3124420682016,833.785312373419,0.5592702063999261,0.2621997839754377,-0.971217113623844,-0.23819596596955495,MAJOR_OCEAN
8675309,-12288,-24576,-22.1184,16.424016180398418,522.2105506363878,849.463389034049,0.38043306246621433,0.4095862450105837,-0.9676578114315474,-0.25226644639251555,LAND
8675309,-8192,-24576,-22.1184,15.312899916197635,639.9744783736354,870.6965547928453,0.4233556536656576,0.7187890006719272,-0.9640753224828177,-0.2656290130607933,LAND
8675309,-4096,-24576,-22.1184,16.129821756421588,928.5770105651147,848.6010203540429,0.5222069975103247,0.5970364140356913,-0.9639315934480092,-0.26615011394470967,LAND
8675309,0,-24576,-22.1184,17.4870853496015,1131.625144635955,834.767536292827,0.5751902787915876,0.27615353875240267,-0.9673713984359212,-0.25336254160418037,MAJOR_OCEAN
8675309,4096,-24576,-22.1184,16.36817308870938,551.0549992962548,848.039698733718,0.39358409118442217,0.42056366717266974,-0.9710537675544291,-0.23886100669290666,LAND
8675309,8192,-24576,-22.1184,14.991394923420719,606.0567603001981,863.843438788092,0.4120311906109272,0.7045064580905405,-0.9717282979254539,-0.23610191657608454,LAND
8675309,12288,-24576,-22.1184,15.961643352102646,802.1365247526411,845.2321922118331,0.48662445270728155,0.6038027280990274,-0.9688419045040023,-0.2476799630108535,LAND
8675309,16384,-24576,-22.1184,17.649545029737215,1264.127022020528,837.69181053527,0.6011583130459646,0.2855808065207442,-0.9648558311306422,-0.2627798035108436,MAJOR_OCEAN
8675309,20480,-24576,-22.1184,16.38862537482891,577.6311792475807,846.0461696618307,0.40544701555742185,0.40969615038234375,-0.963529864258832,-0.2676008233943924,LAND
8675309,24576,-24576,-22.1184,15.240484963298174,648.5254258014172,868.9090111265174,0.4271013683761681,0.7337775757465792,-0.9661943168711776,-0.25781493759252666,LAND
8675309,28672,-24576,-22.1184,15.914377151184286,910.5860973349994,847.630351785505,0.5176089035492103,0.6247542858262106,-0.9702143881526927,-0.24224789167606015,LAND
8675309,32768,-24576,-22.1184,17.31226072534673,1114.8983579257008,831.6206930562412,0.5724710920612394,0.2680604611872295,-0.9719342012480218,-0.23525286065076856,MAJOR_OCEAN
8675309,-32768,-20480,-18.432000000000002,18.087310266918216,1091.18734210906,845.5715848045279,0.5631182119475898,0.0,-0.9660788471975745,-0.2582472865247675,MAJOR_OCEAN
8675309,-28672,-20480,-18.432000000000002,17.302084127418407,654.0024032898165,843.5784865169383,0.4364144823534694,0.2662957774159833,-0.9670993448363169,-0.2543990118242733,LAND
8675309,-24576,-20480,-18.432000000000002,17.201580864286942,689.5092456144192,862.7369886025263,0.4439149636580505,0.3678476963346612,-0.970896723397852,-0.23949854382712815,LAND
8675309,-20480,-20480,-18.432000000000002,17.317613799625605,777.7798456215546,845.3588967916784,0.4788875637963585,0.28375407168531286,-0.9738606766391124,-0.22714616989068992,LAND
8675309,-16384,-20480,-18.432000000000002,18.198926018335708,1402.944811139242,847.5806683300427,0.6231085652514735,0.33218769798572145,-0.9734589839286552,-0.228861544625982,MAJOR_OCEAN
8675309,-12288,-20480,-18.432000000000002,17.21707274397004,641.5177230120619,842.0482816148677,0.432124756334613,0.2747334864849564,-0.9700181540211907,-0.2430324687553529,LAND
8675309,-8192,-20480,-18.432000000000002,17.039973931547404,632.4166818200231,859.6435207458476,0.4235707848439033,0.38466301321383667,-0.9665454148871563,-0.25649553789611035,LAND
8675309,-4096,-20480,-18.432000000000002,17.282191155571663,744.4207038363957,846.4011492307724,0.46765327564892045,0.29955073854144515,-0.9664059091626114,-0.25702065818837705,LAND
8675309,0,-20480,-18.432000000000002,18.357982589032595,1282.1348261942696,850.4436866025867,0.6009316359835055,0.1660484066230631,-0.9697408469246682,-0.24413662118950355,MAJOR_OCEAN
8675309,4096,-20480,-18.432000000000002,17.397783246749547,576.2880568151385,852.122075534166,0.4031649445970984,0.309990995016643,-0.9733013021386941,-0.2295312075843336,LAND
8675309,8192,-20480,-18.432000000000002,16.964186716356974,641.4585987042348,863.6195896328799,0.4259132119909921,0.40902987856260503,-0.9739522918543134,-0.22675302245335166,LAND
8675309,12288,-20480,-18.432000000000002,17.360767130483996,790.5838911998234,842.8779476024042,0.48369675720246974,0.26721273180700417,-0.9711639489013888,-0.23841263463638143,LAND
8675309,16384,-20480,-18.432000000000002,18.044515066169087,1334.6359460089118,844.8012711910435,0.6120955629819999,0.1671326228248975,-0.967302755664608,-0.2536244839987964,MAJOR_OCEAN
8675309,20480,-20480,-18.432000000000002,17.37853400747017,634.5703852512341,841.6977659644106,0.42955666831986183,0.27994534525064796,-0.9660159145433286,-0.25848259680105445,LAND
