seed,x,z,latitudeDegrees,temperatureC,rainfallMm,evaporationMm,aridity,marineClass,winner
-9223372036854775807,8192,-60000,-33.75,10.037263560404574,717.8213420171936,754.7379099766918,0.9510869038489954,LAND,minecraft:plains
-9223372036854775807,-8192,0,0.0,22.47547012768619,1401.7033332851477,924.5584622983514,1.5160786369319104,MAJOR_OCEAN,minecraft:deep_lukewarm_ocean
-9223372036854775807,0,0,0.0,22.383350039251873,1393.9182286884406,922.9003007065337,1.5103670760767067,MAJOR_OCEAN,minecraft:deep_lukewarm_ocean
-9223372036854775807,8192,0,0.0,22.603141000217086,1419.4840111622182,926.8565380039075,1.5315034775708016,MAJOR_OCEAN,minecraft:deep_lukewarm_ocean
-9223372036854775807,-8192,60000,33.75,10.182727461805344,729.9000565663753,752.1598432111202,0.9704055104168903,LAND,minecraft:plains
-9223372036854775807,0,60000,33.75,12.365420166882087,1281.9050389888696,742.5775630038776,1.7262911012329842,MAJOR_OCEAN,minecraft:deep_ocean
-9223372036854775807,8192,60000,33.75,9.843755816147475,701.4435188916925,750.0219305398257,0.935230678370739,LAND,minecraft:plains
-9223372036854775807,-8192,150000,54.0,4.208238838069958,955.7720342795021,611.7490794914877,1.562359578986177,LAND,minecraft:old_growth_spruce_taiga
-9223372036854775807,0,150000,54.0,5.6278994277565335,1311.206007362003,621.3021896996177,2.1104158799052914,MAJOR_OCEAN,minecraft:deep_cold_ocean
-9223372036854775807,8192,150000,54.0,4.605552333775548,774.8052663880554,610.3393420642724,1.2694663656573917,LAND,minecraft:old_growth_pine_taiga
-9223372036854775807,-8192,500000,75.0,-8.563553038435545,591.7245348681764,502.89078876975464,1.1766461985031382,LAND,minecraft:ice_spikes
-9223372036854775807,0,500000,75.0,-2.0748236480229343,1019.0522433119082,482.6531743355872,2.111355104448903,MAJOR_OCEAN,minecraft:deep_frozen_ocean
-9223372036854775807,8192,500000,75.0,-8.199423366600403,666.983167696006,500.58921780893695,1.332396192261931,LAND,minecraft:ice_spikes
-9223372036854775807,-8192,2000000,85.71428571428571,-7.567996889401225,1204.0224134591463,430.0,2.800052124323596,COASTAL_WATER,minecraft:frozen_ocean
-9223372036854775807,0,2000000,85.71428571428571,-6.090736898634915,1195.17283570982,430.0,2.7794717109530698,MAJOR_OCEAN,minecraft:deep_frozen_ocean
-9223372036854775807,8192,2000000,85.71428571428571,-7.375183098340316,1069.3132243201474,430.0,2.4867749402794126,COASTAL_WATER,minecraft:frozen_ocean
-1,-8192,-2000000,-85.71428571428571,-7.50696804063624,1220.2070884733014,430.0,2.8376909034262825,COASTAL_WATER,minecraft:frozen_ocean
-1,0,-2000000,-85.71428571428571,-5.899655189637736,1125.5238239117482,430.0,2.617497264911042,MAJOR_OCEAN,minecraft:deep_frozen_ocean
-1,8192,-2000000,-85.71428571428571,-7.5115415935520495,1185.1381016216694,430.0,2.756135120050394,COASTAL_WATER,minecraft:frozen_ocean
-1,-8192,-500000,-75.0,-8.478926503914003,598.6328904142067,502.345471419208,1.191675698246012,LAND,minecraft:ice_spikes
-1,0,-500000,-75.0,-1.86455108356345,1077.3854433851197,486.4380804958579,2.214846013467677,MAJOR_OCEAN,minecraft:deep_frozen_ocean
-1,8192,-500000,-75.0,-8.59862264663263,661.5263169314263,502.9709036065311,1.3152377447442396,LAND,minecraft:ice_spikes
-1,-8192,-150000,-54.0,4.462194742304423,984.192513501299,605.3318157110477,1.6258727659064571,LAND,minecraft:old_growth_spruce_taiga
-1,0,-150000,-54.0,5.310372512853851,1125.6179113647454,615.5867052313694,1.8285286244797634,MAJOR_OCEAN,minecraft:deep_cold_ocean
-1,8192,-150000,-54.0,4.38378258727731,931.1177355903687,611.2766615130319,1.5232345584496327,LAND,minecraft:old_growth_spruce_taiga
-1,-8192,-60000,-33.75,10.237724743750807,760.3928910032238,752.8696588966649,1.0099927417948869,LAND,minecraft:old_growth_pine_taiga
-1,0,-60000,-33.75,12.207779519320571,1095.2900768060226,739.7400313477702,1.4806418882191053,MAJOR_OCEAN,minecraft:deep_ocean
-1,8192,-60000,-33.75,9.852691988801006,725.8033081217609,751.5405732387068,0.96575399115708,LAND,minecraft:plains
-1,-8192,0,0.0,22.63859855001757,1333.7743198929718,927.4947739003162,1.438039714535708,MAJOR_OCEAN,minecraft:deep_lukewarm_ocean
-1,0,0,0.0,22.596265767877533,1459.8633200549718,926.7327838217956,1.5752796766664225,MAJOR_OCEAN,minecraft:deep_lukewarm_ocean
-1,8192,0,0.0,22.54556503464817,1348.1630417402594,925.8201706236671,1.4561824040105826,MAJOR_OCEAN,minecraft:deep_lukewarm_ocean
-1,-8192,60000,33.75,9.959794778036958,744.778713347445,749.618392192073,0.9935438098970923,LAND,minecraft:plains
-1,0,60000,33.75,12.19407860672624,1156.4005442556304,739.4934149210724,1.5637739578506664,MAJOR_OCEAN,minecraft:deep_ocean
-1,8192,60000,33.75,10.05994058863609,767.919371471874,749.6695441045999,1.0243438292388836,LAND,minecraft:old_growth_pine_taiga
-1,-8192,150000,54.0,4.750356756683265,809.9685698524519,610.5187319698668,1.326689137348908,LAND,minecraft:old_growth_pine_taiga
-1,0,150000,54.0,5.5266049222160305,1209.709419821992,619.4788885998886,1.9527855461807735,MAJOR_OCEAN,minecraft:deep_cold_ocean
-1,8192,150000,54.0,3.7966331997260596,788.936918143887,607.1670902961009,1.2993736497792416,LAND,minecraft:old_growth_pine_taiga
-1,-8192,500000,75.0,-8.57308220977797,704.9669385836086,503.1075857540193,1.4012250233258914,LAND,minecraft:ice_spikes
-1,0,500000,75.0,-1.8357772023806544,1083.1345111286441,486.9560103571482,2.2242964212193224,MAJOR_OCEAN,minecraft:deep_frozen_ocean
-1,8192,500000,75.0,-8.271997672775774,661.8094394829425,501.2142890206127,1.3204121550008827,LAND,minecraft:ice_spikes
-1,-8192,2000000,85.71428571428571,-7.451222574456525,1029.5890795949133,430.0,2.3943932083602637,COASTAL_WATER,minecraft:frozen_ocean
-1,0,2000000,85.71428571428571,-5.83222735066889,1243.5841658450822,430.0,2.8920561996397263,MAJOR_OCEAN,minecraft:deep_frozen_ocean
-1,8192,2000000,85.71428571428571,-7.461556068227564,1013.5982615883714,430.0,2.3572052595078405,COASTAL_WATER,minecraft:frozen_ocean
1,-8192,-2000000,-85.71428571428571,-7.544311960003578,1098.5650820938308,430.0,2.554802516497281,COASTAL_WATER,minecraft:frozen_ocean
1,0,-2000000,-85.71428571428571,-5.910764353663946,1095.5772085133272,430.0,2.5478539732868075,MAJOR_OCEAN,minecraft:deep_frozen_ocean
1,8192,-2000000,-85.71428571428571,-7.39608995477363,1144.8153774081677,430.0,2.6623613428096924,COASTAL_WATER,minecraft:frozen_ocean
1,-8192,-500000,-75.0,-8.169538658207795,586.0484253207276,502.32197576244005,1.1666788506141004,LAND,minecraft:ice_spikes
1,0,-500000,-75.0,-1.9810194270837427,1168.539315144605,484.3416503124926,2.41263437573596,MAJOR_OCEAN,minecraft:deep_frozen_ocean
1,8192,-500000,-75.0,-8.56429911935817,708.6402626890687,502.47427219453505,1.410301585380904,LAND,minecraft:ice_spikes
1,-8192,-150000,-54.0,4.025386413346841,800.3734359661129,611.284648141275,1.309330176047767,LAND,minecraft:old_growth_pine_taiga
1,0,-150000,-54.0,5.399222437978106,1276.0809122763392,617.186003883606,2.0675791483388744,MAJOR_OCEAN,minecraft:deep_cold_ocean
1,8192,-150000,-54.0,4.651095484947057,896.6763194749047,611.1591187853595,1.467173264561597,LAND,minecraft:old_growth_pine_taiga
1,-8192,-60000,-33.75,9.8951047736765,757.5631651629554,755.3268502883235,1.00296072471643,LAND,minecraft:old_growth_pine_taiga
1,0,-60000,-33.75,12.357038893093836,1320.893804667447,742.426700075689,1.7791571942829971,MAJOR_OCEAN,minecraft:deep_ocean
1,8192,-60000,-33.75,10.086962325633634,723.7572136379248,748.6382413225257,0.9667649522676711,LAND,minecraft:plains
1,-8192,0,0.0,22.35003314191603,1422.5430099620269,922.3005965544885,1.5423854384094877,MAJOR_OCEAN,minecraft:deep_lukewarm_ocean
1,0,0,0.0,22.555369529535803,1309.702575203393,925.9966515316444,1.4143707464136939,MAJOR_OCEAN,minecraft:deep_lukewarm_ocean
1,8192,0,0.0,22.433154729085523,1429.734355936525,923.7967851235394,1.5476719327891215,MAJOR_OCEAN,minecraft:deep_lukewarm_ocean
1,-8192,60000,33.75,12.239823874378157,827.6785984952539,749.2009835687544,1.1047484141740955,LAND,minecraft:forest
1,0,60000,33.75,12.428682896970326,1279.35072730175,743.7162921454659,1.720213394291916,MAJOR_OCEAN,minecraft:deep_ocean
1,8192,60000,33.75,10.229362976435487,758.0019807757118,749.0782445300206,1.0119129561041917,LAND,minecraft:old_growth_pine_taiga
1,-8192,150000,54.0,4.537540549451837,851.3099802469386,606.6880402397012,1.4032087725193787,LAND,minecraft:old_growth_pine_taiga
1,0,150000,54.0,5.614370182308995,1365.543913271043,621.0586632815618,2.1987357942255494,MAJOR_OCEAN,minecraft:deep_cold_ocean
1,8192,150000,54.0,5.345083855853148,989.3333225870635,616.2115094053567,1.6055093218589327,COASTAL_WATER,minecraft:cold_ocean
1,-8192,500000,75.0,-8.490500016155238,688.3172731341131,504.05285368298655,1.365565670553699,LAND,minecraft:ice_spikes
1,0,500000,75.0,-2.057780961379612,1160.9577722429249,482.959942695167,2.4038386408698376,MAJOR_OCEAN,minecraft:deep_frozen_ocean
1,8192,500000,75.0,-8.575276689255123,572.0813916589757,504.17233712763766,1.1346941304202218,LAND,minecraft:ice_spikes
1,-8192,2000000,85.71428571428571,-7.194667302647122,1158.0208010897343,430.0,2.6930716304412425,COASTAL_WATER,minecraft:frozen_ocean
1,0,2000000,85.71428571428571,-5.856497121671572,1152.0158837461845,430.0,2.6791067063864755,MAJOR_OCEAN,minecraft:deep_frozen_ocean
1,8192,2000000,85.71428571428571,-7.409873357036848,1195.6847545185208,430.0,2.7806622198105133,COASTAL_WATER,minecraft:frozen_ocean
12345,-8192,-2000000,-85.71428571428571,-7.365716782357583,1080.9030975768283,430.0,2.5137281338996007,COASTAL_WATER,minecraft:frozen_ocean
12345,0,-2000000,-85.71428571428571,-5.896820547607107,1093.1974824338126,430.0,2.5423197265902617,MAJOR_OCEAN,minecraft:deep_frozen_ocean
12345,8192,-2000000,-85.71428571428571,-7.2201270864278815,1258.5644453858763,430.0,2.9268940590369215,COASTAL_WATER,minecraft:frozen_ocean
12345,-8192,-500000,-75.0,-5.518243171754136,678.729120506133,448.41731673976363,1.5136104141580897,LAND,minecraft:snowy_taiga
12345,0,-500000,-75.0,-2.0081492108264216,1174.0474144645837,483.85331420512443,2.4264531832200262,MAJOR_OCEAN,minecraft:deep_frozen_ocean
12345,8192,-500000,-75.0,-5.05056137517136,694.2256683187219,439.8152602404663,1.5784483420133224,LAND,minecraft:snowy_taiga
12345,-8192,-150000,-54.0,4.425369761002158,818.7804184470966,611.7976279214458,1.3383190471477722,LAND,minecraft:old_growth_pine_taiga
12345,0,-150000,-54.0,5.546880077224999,1346.6028246719986,619.84384139005,2.172487221381651,MAJOR_OCEAN,minecraft:deep_cold_ocean
12345,8192,-150000,-54.0,3.7759080959316385,777.3172917519629,605.2282765097322,1.2843373680995942,LAND,minecraft:old_growth_pine_taiga
12345,-8192,-60000,-33.75,10.927545842644182,751.4938109422295,754.6184370415808,0.9958593297672382,LAND,minecraft:old_growth_pine_taiga
12345,0,-60000,-33.75,12.45381161673574,1186.6153915270518,744.1686091012433,1.5945517951370805,MAJOR_OCEAN,minecraft:deep_ocean
12345,8192,-60000,-33.75,10.905321621237698,772.4562798930287,753.6204712224339,1.024993759312352,LAND,minecraft:forest
12345,-8192,0,0.0,22.51620319121465,1226.4517790121274,925.2916574418637,1.3254758855201132,MAJOR_OCEAN,minecraft:deep_lukewarm_ocean
12345,0,0,0.0,22.3977023998126,1467.5199632351114,923.1586431966268,1.5896725595868566,MAJOR_OCEAN,minecraft:deep_lukewarm_ocean
12345,8192,0,0.0,22.589844668292976,1295.8026046006637,926.6172040292736,1.398422777999411,MAJOR_OCEAN,minecraft:deep_lukewarm_ocean
12345,-8192,60000,33.75,10.061771058795145,767.0116060899504,750.2595886692436,1.0223282949977626,LAND,minecraft:old_growth_pine_taiga
12345,0,60000,33.75,12.496490671933298,1254.2802129664478,744.9368320947993,1.6837403641854432,MAJOR_OCEAN,minecraft:deep_ocean
12345,8192,60000,33.75,9.728851707967346,670.7661277647466,753.20111487894,0.8905538169212044,LAND,minecraft:plains
12345,-8192,150000,54.0,4.513337972388612,956.0932871400187,608.2667318124751,1.5718322853053492,LAND,minecraft:old_growth_spruce_taiga
12345,0,150000,54.0,5.4066223172389805,1269.3676060336613,617.3192017103016,2.0562580955149943,MAJOR_OCEAN,minecraft:deep_cold_ocean
12345,8192,150000,54.0,4.287700085059891,769.7353075303423,606.9938617715443,1.2681105296251733,LAND,minecraft:old_growth_pine_taiga
12345,-8192,500000,75.0,-8.720406455078198,593.165138905741,503.26601825782467,1.1786314143742975,LAND,minecraft:ice_spikes
12345,0,500000,75.0,-1.97670209878402,1248.476394375147,484.41936222188764,2.577263610291622,MAJOR_OCEAN,minecraft:deep_frozen_ocean
12345,8192,500000,75.0,-8.24367452501665,702.6460493787084,502.0619111586795,1.3995207239623346,LAND,minecraft:ice_spikes
12345,-8192,2000000,85.71428571428571,-7.427537991141623,1203.3870343117103,430.0,2.798574498399326,COASTAL_WATER,minecraft:frozen_ocean
12345,0,2000000,85.71428571428571,-5.794786723956472,1129.0873934749695,430.0,2.625784635988301,MAJOR_OCEAN,minecraft:deep_frozen_ocean
12345,8192,2000000,85.71428571428571,-7.175162502016041,1213.3493601467044,430.0,2.8217426980155915,COASTAL_WATER,minecraft:frozen_ocean
67890,-8192,-2000000,-85.71428571428571,-7.469857273618805,1152.6064321549788,430.0,2.6804800747790205,COASTAL_WATER,minecraft:frozen_ocean
67890,0,-2000000,-85.71428571428571,-5.733217310867795,1229.8997687142014,430.0,2.8602320202655847,MAJOR_OCEAN,minecraft:deep_frozen_ocean
67890,8192,-2000000,-85.71428571428571,-7.5683844625560805,1134.9605036992039,430.0,2.6394430318586135,COASTAL_WATER,minecraft:frozen_ocean
67890,-8192,-500000,-75.0,-5.347749250950066,730.4630627491739,448.8276927010319,1.62749107202648,LAND,minecraft:snowy_taiga
